污秽症状,初期,中期,后期
偏执,对同伴产生怀疑和不信任感。无法将情报分享给同伴,对同伴产生敌意。无法将情报分享给同伴，所有未命中的攻击均被认为打中了攻击范围内的同伴,对同伴产生恨意已经远超过魔法少女的本能。无法将情报分享给同伴，当有同伴在攻击范围内时，所有攻击行为均被认为目标是攻击范围内的同伴
疯狂,减弱痛觉，不会因为轻伤影响行动但进行大行动时会损失1D3的HP,几乎屏蔽了痛觉，不会因为轻伤影响行动但进行标准行动时会损失1D3的HP，进行大行动时会损失1D5的HP,完全屏蔽了痛觉，无法察觉到受伤，不会因为轻伤影响行动，但进行小行动时会损失1点HP，标准行动时会损失1D3的HP，进行大行动时会损失1D5的HP
恐惧,会避免接触任何危险。多人行动时无法第一个进行调查，战斗轮无法第一个行动,会避免调查物体，哪怕它看起来并不具有危险。多人行动时只能最后一个调查，战斗轮会强制最后一个行动,会因为恐惧而无法活动。多人行动时只能最后一个调查，战斗轮会强制最后一个行动，DP上限下降至原本的一半
孤僻,会避免和人共同行动。无法进行组合检定,会避免与人共同行动，无法与同伴进行语言交流，但可以听到对方的声音。,当与人共同行动时会感受到明显不适，无法与同伴进行语言交流，但可以听到对方的声音。如果与其他人处在同一房间或者距离5m以内时，每次听到对话都会损失一点SAN（以进行某个操作作为对话的分割）
狂躁,会难以静下心来思考。技能难度等级增加一级,会因为狂躁而表现出攻击倾向。技能难度等级增加一级，且失败时会对操作对象进行一次徒手攻击,会因为狂躁而表现出强烈攻击倾向。技能难度等级增加一级，且所有检定失败时均会对检定对象进行一次徒手攻击
迷茫,在做出决定时会消耗更多时间，被动行动需要更高一级的成功等级才能成功,被动行动需要更高一级的成功等级才能成功，DP自然回复量减半,怀疑自己的愿望，无法使用自己的固有能力，被动行动需要更高一级的成功等级才能成功，DP自然回复量减半
混乱,你的记忆中出现了混乱，你会看错或者听错信息，侦察和倾听等探索用的技能骰暗骰，失败时主持人会给予错误的信息,你的记忆出现了混乱，你会注意不到明显的事物或信息，侦察和倾听等探索用的技能骰暗骰并且提高一个难度等级，失败时主持人会给予错误的信息,你的记忆出现了混乱，有些事物会难以回想或想起错误的信息。无法使用侦察和倾听等探索用的技能
愤怒,强烈的愤怒使你难以抑制攻击的冲动，无法进行闪避,强烈的愤怒使你难以抑制攻击的冲动，被攻击命中时会强制发动反击，并且无法闪避,强烈的愤怒已经使你失去了理智，被攻击命中时会强制发动反击，并且无法闪避，使用攻击以外的行动时需要增加一个难度等级。
依存,离不开某个人或者物体，一旦失去，便会难以静下心，所有判定增加惩罚骰,离不开某个人或者物体，一旦失去，便于执着于寻找它，以至于会放弃很多行动，所有检定难度等级增加一级,离不开某个人或者物体，一旦失去，便无法维持正常的理智，所有检定难度等级增加一级，且检定失败时会损失1点SAN
愧疚,愧疚感让你无法直视同伴受伤，当有同伴处于受伤状态时，如果自己不在该同伴的身旁便无法进行移动以外的其他行动,愧疚感让你无法接受同伴受伤，当有同伴的HP低于一半或是处在受伤状态时，如果自己不在同伴的身旁便无法进行移动以外的其他行动,愧疚感让你无论如何都要保护同伴，当有同伴的HP低于一半或是处在受伤状态时，如果自己不在同伴的身旁便无法进行移动以外的其他行动。如果该同伴受到攻击，会被认为该攻击目标是具有“愧疚”状态的魔法少女j
退行,回到了小时候的思考模式。,回到了小时候的思考模式。,回到了小时候的思考模式。
失控,无法控制自己的力量。如果该战斗轮没有消耗MP，会流失1点MP，并对10m内所有目标进行一次1点伤害的无差别攻击,无法控制自己的力量。如果该战斗轮没有消耗MP，会流失1点MP，并对10m内所有目标进行一次1点伤害的无差别攻击。每次使用魔法时，会额外消耗1MP，对周围10m内所有目标进行一次1点伤害的无差别攻击,无法控制自己的力量。如果该战斗轮没有消耗MP，会流失1点SAN，并对10m内所有目标进行一次5点伤害的无差别攻击。每次使用魔法时，会流失一点SAN，对周围10m内所有目标进行一次5点伤害的无差别攻击